cbsa_name,population,median_hh_income,density,sg_stores,cmg_stores,sg_per_m,cmg_per_m
"New Orleans-Metairie, LA Metro Area",988763,62271,419.22466840861006,0,5,0,5.056823525961226
"Omaha, NE-IA Metro Area",972840,83023,223.87027657660332,0,11,0,11.307100859339664
"Bridgeport-Stamford-Danbury, CT Metro Area",947528,111656,1409.3650560601793,3,14,3.1661333490936414,14.775288962436994
"Greenville-Anderson-Greer, SC Metro Area",945301,69016,348.87128755104055,0,12,0,12.6943693067076
"Knoxville, TN Metro Area",919553,69734,262.65960359260026,0,6,0,6.524909385320911
"Albuquerque, NM Metro Area",918567,67995,98.9473017739062,0,7,0,7.62056551128007
"Bakersfield-Delano, CA Metro Area",910433,67660,111.92005376592093,0,12,0,13.180541566485395
"Albany-Schenectady-Troy, NY Metro Area",902372,86072,320.9228030804925,0,10,0,11.081904137096451
"McAllen-Edinburg-Mission, TX Metro Area",880921,52281,560.6695476726923,0,5,0,5.675877859649163
"Baton Rouge, LA Metro Area",871379,68910,199.36825866665657,0,4,0,4.590425061884668
"El Paso, TX Metro Area",869606,58800,155.7315262545127,0,10,0,11.499460675294328
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",866764,82602,596.5244100163069,0,8,0,9.22973266079348
"North Port-Bradenton-Sarasota, FL Metro Area",865031,78278,666.0396575792893,0,13,0,15.028363145367043
"Worcester, MA Metro Area",861664,93561,570.3828139400724,0,7,0,8.123816243918743
"Columbia, SC Metro Area",839868,66146,226.80195728630304,0,10,0,11.906632947082162
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",838259,107327,455.3837725180547,1,9,1.192948718713429,10.73653846842086
"Charleston-North Charleston, SC Metro Area",817756,82272,315.71389324459625,0,11,0,13.451445174355186
"Dayton-Kettering-Beavercreek, OH Metro Area",813608,69752,634.8562225753135,0,19,0,23.35276939263134
"Cape Coral-Fort Myers, FL Metro Area",792692,73099,1014.9362908362106,0,7,0,8.83066815358298
"Boise City, ID Metro Area",790640,82694,67.19361869650857,0,9,0,11.383183243954266
"Stockton-Lodi, CA Metro Area",787416,88531,565.5758749470526,0,12,0,15.239720808314791
"Greensboro-High Point, NC Metro Area",779894,63083,391.1289734746031,0,12,0,15.386706398561856
"Lakeland-Winter Haven, FL Metro Area",760961,63644,423.1984045842495,0,10,0,13.141277936714234
"Colorado Springs, CO Metro Area",760782,87180,283.49762398602854,0,13,0,17.087680833668514
"Little Rock-North Little Rock-Conway, AR Metro Area",753605,65309,184.5352778524984,0,6,0,7.961730614844647
"Des Moines-West Des Moines, IA Metro Area",720331,84209,199.41021005447757,0,7,0,9.717754754411512
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area",700984,96912,436.0221602009821,1,6,1.4265660842472865,8.55939650548372
"Akron, OH Metro Area",699508,71312,777.0573881503296,0,20,0,28.59152432852805
"Provo-Orem-Lehi, UT Metro Area",695895,96745,128.95846675633769,0,8,0,11.495987181974291
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",689939,67599,434.66004772961327,0,10,0,14.494034979904022
"Madison, WI Metro Area",683967,86827,206.70910721962736,2,6,2.924117684040312,8.772353052120936
"Winston-Salem, NC Metro Area",683637,64282,340.28688730905134,0,5,0,7.313822979154141
"Syracuse, NY Metro Area",657128,73558,275.54271552615927,0,5,0,7.608867678747519
"Wichita, KS Metro Area",648935,68930,156.43997894468274,0,11,0,16.950850239238136
"Ogden, UT Metro Area",645510,98361,417.81620222097933,0,8,0,12.393301420582176
"Palm Bay-Melbourne-Titusville, FL Metro Area",620533,75817,611.3807028764213,0,9,0,14.50366056277426
"Augusta-Richmond County, GA-SC Metro Area",618022,66628,177.556618719774,0,2,0,3.2361307526269294
"Jackson, MS Metro Area",615908,60489,102.40820873082052,0,4,0,6.494476447781162
"Toledo, OH Metro Area",602977,63749,442.6246799905551,0,11,0,18.242818548634524
"Harrisburg-Carlisle, PA Metro Area",597894,79281,368.6603559469069,0,11,0,18.397909997424293
"Durham-Chapel Hill, NC Metro Area",594291,81017,337.87546593220486,1,12,1.6826773415717216,20.19212809886066
"Spokane-Spokane Valley, WA Metro Area",591793,72836,139.53016532700482,0,7,0,11.828460289324138
"Chattanooga, TN-GA Metro Area",569333,68666,272.5654956300371,0,3,0,5.269323928175602
"Scranton--Wilkes-Barre, PA Metro Area",567887,63656,325.25932340977835,0,5,0,8.804568514510809
"New Haven, CT Metro Area",566803,86266,1543.7118025350287,1,6,1.764281417000263,10.585688502001576
"Fayetteville-Springdale-Rogers, AR Metro Area",563436,77979,214.77154005350295,2,7,3.5496489397198614,12.423771289019514
"Portland-South Portland, ME Metro Area",557764,88602,267.9795390340036,0,5,0,8.964364856821163
"Reno, NV Metro Area",556539,84684,64.84408040033156,0,6,0,10.780915623163876
"Lancaster, PA Metro Area",555151,83703,588.1311049548161,0,4,0,7.205246860764009
"Modesto, CA Metro Area",552250,79661,369.1140349173587,0,7,0,12.675418741511995
"Lexington-Fayette, KY Metro Area",517378,70717,351.9659423079701,0,13,0,25.12669653522183
"Pensacola-Ferry Pass-Brent, FL Metro Area",516994,73588,309.68944561593133,0,7,0,13.539808972637982
"Port St. Lucie, FL Metro Area",506701,72506,454.1569925820059,0,7,0,13.81485333559634
"Huntsville, AL Metro Area",504712,83529,369.75089426007946,0,6,0,11.887967791532596
"Killeen-Temple, TX Metro Area",485850,67203,172.37243888215338,0,6,0,12.34949058351343
"Santa Rosa-Petaluma, CA Metro Area",485642,102840,308.27820190661953,1,4,2.0591299764023705,8.236519905609482
"Springfield, MO Metro Area",481671,61488,160.18470594459458,0,3,0,6.2283176691143955
"Visalia, CA Metro Area",475774,69489,98.628517623175,0,7,0,14.712867874242814
"Lansing-East Lansing, MI Metro Area",470434,70886,276.9467455974492,0,4,0,8.502786788369887
"Springfield, MA Metro Area",462853,70535,750.1611045212732,0,7,0,15.1235921556088
"York-Hanover, PA Metro Area",459312,82238,507.88313281567827,0,5,0,10.885846657609642
"Waterbury-Shelton, CT Metro Area",452303,86365,1095.736996754308,0,5,0,11.054536450123036
"Fort Wayne, IN Metro Area",451440,69378,331.73266580518305,0,4,0,8.86053517632465
"Vallejo, CA Metro Area",450824,99994,548.6237197220353,0,5,0,11.090802619203949
"Corpus Christi, TX Metro Area",446797,65801,250.3575845198628,0,3,0,6.714458691531053
"Santa Maria-Santa Barbara, CA Metro Area",443975,95977,162.39376937071268,0,4,0,9.00951630159356
"Wilmington, NC Metro Area",440578,73687,230.23282096562664,0,5,0,11.348728261511017
"Salinas, CA Metro Area",435834,94486,132.8066721225768,0,5,0,11.47225778622136
"Salem, OR Metro Area",435085,76010,226.3988357055921,0,5,0,11.492007308916648
"Reading, PA Metro Area",429989,77684,502.0875062997168,0,4,0,9.30256355395138
"Youngstown-Warren, OH Metro Area",428430,55357,416.3289698500768,0,7,0,16.338725112620498
"Manchester-Nashua, NH Metro Area",424732,100436,484.5607474967073,1,4,2.354425849712289,9.417703398849156
"Brownsville-Harlingen, TX Metro Area",423192,51334,474.5797778648361,0,2,0,4.725987258738351
"Gulfport-Biloxi, MS Metro Area",418452,61266,188.8398448846545,0,2,0,4.7795207096632355
"Mobile, AL Metro Area",413162,58119,336.0750987234889,0,3,0,7.261074348560613
"Savannah, GA Metro Area",412089,74632,305.4526766017368,0,6,0,14.559961561701478
"Lafayette, LA Metro Area",410883,60910,145.00413511775207,0,1,0,2.4337828530262873
"Asheville, NC Metro Area",410817,69236,277.7568396670682,0,5,0,12.170869267824846
"Flint, MI Metro Area",404087,60673,634.4165170907555,0,3,0,7.424143810615042
"Canton-Massillon, OH Metro Area",400495,65666,412.95832226323944,0,11,0,27.46601081162062
"Anchorage, AK Metro Area",399746,95918,15.133690901663638,0,0,0,0
"Beaumont-Port Arthur, TX Metro Area",396058,65245,188.5006305686689,0,3,0,7.57464815759308
"Fayetteville, NC Metro Area",389851,58909,373.8793790465352,0,4,0,10.260330228728412
"Shreveport-Bossier City, LA Metro Area",389004,54635,149.87671276024292,0,3,0,7.712002961409137
"Tallahassee, FL Metro Area",388298,63078,162.51535652494547,0,4,0,10.301366476263077
"Ocala, FL Metro Area",387697,58535,244.07680182427808,0,4,0,10.317335444947988
"Naples-Marco Island, FL Metro Area",387681,86173,194.14652208678345,0,4,0,10.317761252163503
"Montgomery, AL Metro Area",385159,62746,141.8941461128976,0,3,0,7.788991040063974
"Trenton-Princeton, NJ Metro Area",383286,96333,1707.4544605441051,0,3,0,7.827053427466695
"Eugene-Springfield, OR Metro Area",382628,69311,84.01849973919704,0,4,0,10.454018001818998
"Davenport-Moline-Rock Island, IA-IL Metro Area",381864,71925,168.2299237345012,0,3,0,7.856200113129282
"Huntington-Ashland, WV-KY-OH Metro Area",372801,58483,127.86795083757691,0,2,0,5.364792476415031
"Atlantic City-Hammonton, NJ Metro Area",369940,80600,458.3577291968024,0,6,0,16.218846299399903
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area",368937,64623,325.58278378408113,0,5,0,13.552449334168164
"Ann Arbor, MI Metro Area",368394,87156,521.802159941545,2,4,5.4289700700880035,10.857940140176009
"Hickory-Lenoir-Morganton, NC Metro Area",366972,60255,223.8339439607676,0,4,0,10.90001417001842
"Peoria, IL Metro Area",365773,70872,148.2273202809041,0,3,0,8.201808225320075
"Spartanburg, SC Metro Area",365086,62440,276.1696769669389,0,3,0,8.217241964906899
"Fort Collins-Loveland, CO Metro Area",363561,91364,140.06028310089286,0,5,0,13.75285027822016
"Lubbock, TX Metro Area",354782,62288,67.39066107348953,0,5,0,14.093161434345598
"Gainesville, FL Metro Area",344521,58946,147.00540874737442,0,3,0,8.70774205345973
"Lincoln, NE Metro Area",341309,73095,242.2366478875219,0,5,0,14.649481847827044
"Greeley, CO Metro Area",340711,93287,85.49927180123684,0,2,0,5.870077573075128
"Rockford, IL Metro Area",336605,66571,424.047814706525,0,5,0,14.854205968419958
"Green Bay, WI Metro Area",329375,77459,176.13421176922137,0,2,0,6.072106261859583
"Clarksville, TN-KY Metro Area",328626,66210,152.28000029515366,0,4,0,12.17189145107204
"Boulder, CO Metro Area",328317,102772,451.98773376754866,1,7,3.0458367979726906,21.320857585808835
"Columbus, GA-AL Metro Area",326136,57762,117.05915186480958,0,3,0,9.198616528074178
"South Bend-Mishawaka, IN-MI Metro Area",324180,65385,342.0019920734732,0,5,0,15.423530137577888
"Roanoke, VA Metro Area",314661,67447,168.4870118279908,0,5,0,15.890116665236556
"Kingsport-Bristol, TN-VA Metro Area",309580,55948,153.982301747622,0,2,0,6.460365656696169
"Kennewick-Richland, WA Metro Area",307900,85881,104.66654062587894,0,4,0,12.991230919129586
"Waco, TX Metro Area",299217,63880,107.43274055331943,0,2,0,6.684112199507381
"Hagerstown-Martinsburg, MD-WV Metro Area",298525,75473,296.15458837489126,0,4,0,13.39921279624822
"Olympia-Lacey-Tumwater, WA Metro Area",296640,93985,410.573728221072,0,5,0,16.8554476806904
"Crestview-Fort Walton Beach-Destin, FL Metro Area",294127,79150,149.44263970794228,0,3,0,10.19967565031432
"Sioux Falls, SD-MN Metro Area",293107,81418,95.85358140125932,0,2,0,6.8234467276455355
"Utica-Rome, NY Metro Area",289577,68830,110.39797994876275,0,2,0,6.906625871529853
"Longview, TX Metro Area",288921,65210,107.78151287545931,0,1,0,3.461153740988021
"Merced, CA Metro Area",285597,65044,147.36657425014198,0,3,0,10.504312020084244
"San Luis Obispo-Paso Robles, CA Metro Area",281486,93398,85.2770359687111,0,3,0,10.657723652330844
"Duluth, MN-WI Metro Area",280710,71067,33.36392598751419,0,1,0,3.5623953546364575
"Norwich-New London-Willimantic, CT Metro Area",279025,84185,466.4915443520832,0,4,0,14.335633007795
"Bremerton-Silverdale-Port Orchard, WA Metro Area",276581,98546,700.0078747075012,0,3,0,10.846732060409066
"Cedar Rapids, IA Metro Area",275960,77084,137.3802644449355,0,2,0,7.247427163357009
"Tuscaloosa, AL Metro Area",275217,59975,78.78495521984867,0,2,0,7.266992954650331
"College Station-Bryan, TX Metro Area",273280,59691,130.11008959377142,0,3,0,10.97775175644028
"Amarillo, TX Metro Area",270207,66571,52.45738472276178,0,2,0,7.401732745635754
"Evansville, IN Metro Area",269721,67671,262.52372151819714,0,4,0,14.830139292083302
"Erie, PA Metro Area",269544,61476,337.39352351139894,0,4,0,14.839877719407593
"Slidell-Mandeville-Covington, LA Metro Area",269331,79277,318.62914037583306,0,3,0,11.138710360114509
"Laredo, TX Metro Area",267731,62506,79.64681722272775,0,2,0,7.470184625613022
"Santa Cruz-Watsonville, CA Metro Area",266021,109266,597.6582373095553,0,4,0,15.036406900207126
"Lynchburg, VA Metro Area",262716,67782,123.89499976907408,0,4,0,15.225566771723075
"Kalamazoo-Portage, MI Metro Area",261437,70525,465.2272567669587,0,2,0,7.650026583842379
"Yakima, WA Metro Area",256605,68015,59.75184495609494,0,1,0,3.8970401979696416
"Fargo, ND-MN Metro Area",254914,75523,90.71316048100194,0,5,0,19.61445820943534
"Bend, OR Metro Area",253650,85509,32.61022752323981,0,3,0,11.827321111768184
"Lake Charles, LA Metro Area",245973,67010,81.98441901611045,0,0,0,0
"Binghamton, NY Metro Area",245844,63347,200.7844648852648,0,1,0,4.06762011682205
"Appleton, WI Metro Area",244163,83919,255.45210723881632,0,1,0,4.095624644192609
"Prescott Valley-Prescott, AZ Metro Area",241656,66106,29.74984867090167,0,4,0,16.552454729036317
"Daphne-Fairhope-Foley, AL Metro Area",239945,75019,150.92185364726907,0,2,0,8.335243493300549
"Tyler, TX Metro Area",238014,71923,258.2972444558046,0,3,0,12.604300587360408
"Champaign-Urbana, IL Metro Area",236196,64558,122.9618021192851,0,3,0,12.701315856322717
"Macon-Bibb County, GA Metro Area",234040,58127,135.78637579262428,0,0,0,0
"Topeka, KS Metro Area",232724,68160,71.99029930293909,0,3,0,12.890806276963271
"Barnstable Town, MA Metro Area",230073,94452,583.6452038893499,0,1,0,4.346446562612736
"Fort Smith, AR-OK Metro Area",228916,56717,127.17363040201192,0,1,0,4.368414614967936
"Bellingham, WA Metro Area",228432,80989,108.36694102072458,0,3,0,13.133011136793444
"Rochester, MN Metro Area",227252,89675,91.73889771688955,0,2,0,8.800802633200147
"Burlington-South Burlington, VT Metro Area",226603,90911,181.3433606359587,0,2,0,8.826008481794151
"Lafayette-West Lafayette, IN Metro Area",225019,59895,137.02037647238822,0,4,0,17.77627666997009
"Monroe, LA Metro Area",224705,49203,79.18210694758149,0,0,0,0
"Charlottesville, VA Metro Area",222937,90552,135.56301549396247,0,4,0,17.942288628626024
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area",222781,81015,180.952715227415,0,2,0,8.977426261665043
"Medford, OR Metro Area",222563,71443,79.96509207331188,0,3,0,13.479329448291043
"Las Cruces, NM Metro Area",221665,55663,58.207615458124074,0,1,0,4.5113121151286855
"Athens-Clarke County, GA Metro Area",218190,62897,212.8626219397164,0,0,0,0
"Lake Havasu City-Kingman, AZ Metro Area",217420,55799,16.307987870511347,0,2,0,9.198785760279645
"Columbia, MO Metro Area",212850,69463,124.17583006087185,0,3,0,14.09443269908386
"Chico, CA Metro Area",209470,68574,127.99958972397005,0,4,0,19.095813242946484
"Johnson City, TN Metro Area",208934,56096,244.69053949131293,0,2,0,9.572400853858156
"Jacksonville, NC Metro Area",208537,64568,273.6400153034346,0,2,0,9.590624205776432
"Gainesville, GA Metro Area",208395,77430,530.7693039995293,0,3,0,14.395738861297056
"Lexington Park, MD Metro Area",208163,123577,364.07819647885566,0,5,0,24.019638456401957
"Yuma, AZ Metro Area",207685,60417,37.666267976384056,0,2,0,9.629968461853288
"Charleston, WV Metro Area",207456,58089,118.81629717922984,0,1,0,4.820299244177079
"Springfield, IL Metro Area",207386,74580,175.36134585737275,0,2,0,9.64385252620717
"Elkhart-Goshen, IN Metro Area",206868,65617,446.6442871989693,0,2,0,9.668000850784075
"Panama City-Panama City Beach, FL Metro Area",206627,67834,153.82328669799756,0,2,0,9.67927715158232
"Houma-Bayou Cane-Thibodaux, LA Metro Area",204032,64269,88.79908994318433,0,0,0,0
"Joplin, MO-KS Metro Area",202258,60146,109.2797759837316,0,1,0,4.944180205480129
"St. Cloud, MN Metro Area",200816,75670,114.67474023043668,0,3,0,14.93904868137997
"Florence, SC Metro Area",199675,53874,146.69894734843837,0,2,0,10.016276449229998
"Racine-Mount Pleasant, WI Metro Area",196888,75331,591.9472689486588,0,1,0,5.079029702165698
"Auburn-Opelika, AL Metro Area",196614,58991,161.6612707264429,0,3,0,15.258323415423112
"Warner Robins, GA Metro Area",195171,78702,370.81476203535414,0,2,0,10.24742405377848
"Punta Gorda, FL Metro Area",195083,66154,286.415984208202,0,2,0,10.252046564795496
"St. George, UT Metro Area",189827,76411,78.19569986153012,0,4,0,21.071818023779542
"Saginaw, MI Metro Area",189210,58347,236.2743678694035,0,2,0,10.57026584218593
"Billings, MT Metro Area",187269,74599,28.90942622214928,0,3,0,16.019736315140253
"Dover, DE Metro Area",185043,72872,315.7401553597428,0,2,0,10.808298611674042
"Bowling Green, KY Metro Area",183194,62437,113.47741909458492,0,2,0,10.9173881240652
"Kingston, NY Metro Area",182109,81804,161.98467831199366,0,1,0,5.491216798730431
"Yuba City, CA Metro Area",182050,74762,147.4444906382567,0,2,0,10.985992859104645
"Blacksburg-Christiansburg-Radford, VA Metro Area",181605,64627,124.8565133199783,0,4,0,22.025825280140968
"Redding, CA Metro Area",181554,71931,48.08548204684739,0,2,0,11.016006257091554
"Jackson, TN Metro Area",180844,58740,105.68357957733652,0,1,0,5.529627745460176
"El Centro, CA Metro Area",179319,56393,42.94522607617116,0,1,0,5.576653896129244
"Abilene, TX Metro Area",178244,66464,64.96923607643818,0,2,0,11.22057404456812
"Coeur d'Alene, ID Metro Area",177736,77034,143.5925165228975,0,1,0,5.626322185713643
"Iowa City, IA Metro Area",177420,74142,150.12366895464794,0,3,0,16.909029421711196
"Midland, TX Metro Area",176726,93442,97.35289043614787,0,1,0,5.658476964340278
"Muskegon-Norton Shores, MI Metro Area",175378,63495,348.0319065554865,0,1,0,5.70196946025157
"Burlington, NC Metro Area",174286,64445,411.5812279865258,0,1,0,5.737695511974571
"Eau Claire, WI Metro Area",172886,72513,105.01630255348842,0,2,0,11.56831669423782
"Greenville, NC Metro Area",172279,58851,264.0833536039286,0,3,0,17.413613963396585
"Oshkosh-Neenah, WI Metro Area",171357,72873,394.1983383441747,0,2,0,11.671539534422289
"Bloomington, IL Metro Area",170882,78329,144.41778363559075,0,3,0,17.555974298053627
"La Crosse-Onalaska, WI-MN Metro Area",169945,71009,94.65137737061464,0,1,0,5.884256671276001
"Terre Haute, IN Metro Area",168850,55380,115.2306672698758,0,1,0,5.922416345869115
"Pueblo, CO Metro Area",168726,62250,70.69748685256958,0,1,0,5.926768844161541
"Kenosha, WI Metro Area",168413,79412,619.5456920103026,0,2,0,11.875567800585465
"Waterloo-Cedar Falls, IA Metro Area",168163,68916,111.87808461655416,0,0,0,0
"Kahului-Wailuku, HI Metro Area",164675,95049,140.32434580834675,0,0,0,0
"Janesville-Beloit, WI Metro Area",163944,74390,228.28104417629615,0,1,0,6.099643780803201
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area",163856,71049,326.0637890781212,0,1,0,6.102919636754224
"Odessa, TX Metro Area",163206,71031,181.7673837902892,0,2,0,12.25445142948176
"Idaho Falls, ID Metro Area",161944,77300,31.166286837424614,0,1,0,6.174974065108926
"Bloomington, IN Metro Area",161256,62949,206.7870593613913,1,3,6.201319640819566,18.6039589224587
"Jackson, MI Metro Area",160187,65004,228.22009866768852,0,0,0,0
"Homosassa Springs, FL Metro Area",158693,55355,272.709436401123,0,2,0,12.602950350677093
"State College, PA Metro Area",158041,72748,142.73173704057987,0,4,0,25.309887940471143
"Grand Junction, CO Metro Area",157316,71485,47.260192557199645,0,2,0,12.713265020722622
"Decatur, AL Metro Area",156924,63987,123.52784024662589,0,1,0,6.372511534245876
"Chambersburg, PA Metro Area",156626,74946,202.80543171481452,0,1,0,6.384636011900962
"Amherst Town-Northampton, MA Metro Area",156595,86391,297.0114442473728,0,2,0,12.7717998658961
"Santa Fe, NM Metro Area",155175,74689,81.22729827108701,0,1,0,6.44433703882713
"Monroe, MI Metro Area",155001,75272,282.15182167202386,0,1,0,6.451571280185289
"Traverse City, MI Metro Area",154657,77495,91.46026030957432,0,0,0,0
"Hattiesburg, MS Metro Area",154567,59008,96.01070005016788,0,0,0,0
"Bangor, ME Metro Area",153571,63248,45.20540795095047,0,1,0,6.511646079012313
"Niles, MI Metro Area",153411,63152,270.1939110766041,0,0,0,0
"Vineland, NJ Metro Area",152915,64499,316.3453892887269,0,3,0,19.618742438609686
"Hanford-Corcoran, CA Metro Area",152830,68750,109.87277848933896,0,2,0,13.086435909180135
"Florence-Muscle Shoals, AL Metro Area",152685,58049,121.08532411776952,0,1,0,6.549431836788159
"Dothan, AL Metro Area",151804,56772,88.45343166582259,0,1,0,6.587441701140945
"Logan, UT-ID Metro Area",151746,77520,83.02539867809017,0,1,0,6.589959537648439
"Rapid City, SD Metro Area",151064,71985,19.35566078016037,0,0,0,0
"Alexandria, LA Metro Area",150593,56492,76.52628185749803,0,0,0,0
"Jefferson City, MO Metro Area",150147,72425,66.79943716411647,0,1,0,6.6601397297315295
"Valdosta, GA Metro Area",149139,54581,92.78460490353984,0,2,0,13.41030850414714
"Wichita Falls, TX Metro Area",148978,63618,56.869630255872224,0,1,0,6.712400488662755
